,,Variable,SHR %,
,,Target,Total Individuals,
Date,Day of week,Channel\Activity,(r) Live + As Live,
17.10.2021,,RTS(11),27.30%,
,,PINK(20),15.80%,
,,KOPERNIKUS(8),11.00%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),7.30%,
,,CAS(21),6.90%,
,,TWDC(6),6.00%,
,,RTV(2),5.20%,
18.10.2021,Sunday,RTS(11),24.20%,
,,PINK(20),16.60%,
,,KOPERNIKUS(8),11.20%,
,,TELEKOM(20),9.10%,
,,HAPPY(1),8.20%,
,,CAS(21),6.80%,
,,TWDC(6),5.20%,
,,RTV(2),5.20%,
19.10.2021,Saturday,RTS(11),25.30%,
,,PINK(20),15.80%,
,,KOPERNIKUS(8),11.00%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),7.30%,
,,CAS(21),6.90%,
,,TWDC(6),6.00%,
,,RTV(2),5.20%,
20.10.2021,Friday,RTS(11),26.80%,
,,PINK(20),15.80%,
,,KOPERNIKUS(8),11.90%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),6.80%,
,,CAS(21),6.20%,
,,TWDC(6),5.80%,
,,RTV(2),5.40%,
21.10.2021,Thursday,RTS(11),30.50%,
,,PINK(20),16.70%,
,,KOPERNIKUS(8),10.30%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),7.60%,
,,CAS(21),6.70%,
,,TWDC(6),5.60%,
,,RTV(2),5.40%,
22.10.2021,Wednesday,RTS(11),30.80%,
,,PINK(20),16.80%,
,,KOPERNIKUS(8),11.60%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),7.80%,
,,CAS(21),6.70%,
,,TWDC(6),5.90%,
,,RTV(2),5.20%,
23.10.2021,Tuesday,RTS(11),27.40%,
,,PINK(20),16.80%,
,,KOPERNIKUS(8),11.50%,
,,TELEKOM(20),11.40%,
,,HAPPY(1),7.80%,
,,CAS(21),5.80%,
,,TWDC(6),5.60%,
,,RTV(2),5.50%,
24.10.2021,Monday,RTS(11),24.40%,
,,PINK(20),18.30%,
,,KOPERNIKUS(8),13.00%,
,,TELEKOM(20),10.50%,
,,HAPPY(1),6.90%,
,,CAS(21),6.70%,
,,TWDC(6),5.60%,
,,RTV(2),5.40%,
25.10.2021,Sunday,RTS(11),24.10%,
,,PINK(20),19.10%,
,,KOPERNIKUS(8),11.70%,
,,TELEKOM(20),9.60%,
,,HAPPY(1),6.70%,
,,CAS(21),6.30%,
,,TWDC(6),5.40%,
,,RTV(2),5.30%,
26.10.2021,Saturday,RTS(11),22.60%,
,,PINK(20),22.50%,
,,KOPERNIKUS(8),10.30%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),7.90%,
,,CAS(21),6.80%,
,,TWDC(6),5.60%,
,,RTV(2),5.60%,
27.10.2021,Friday,RTS(11),25.20%,
,,PINK(20),17.90%,
,,KOPERNIKUS(8),12.00%,
,,TELEKOM(20),10.70%,
,,HAPPY(1),6.50%,
,,CAS(21),5.40%,
,,TWDC(6),5.40%,
,,RTV(2),5.20%,
28.10.2021,Thursday,RTS(11),22.00%,
,,PINK(20),20.00%,
,,KOPERNIKUS(8),11.50%,
,,TELEKOM(20),10.70%,
,,HAPPY(1),7.10%,
,,CAS(21),5.50%,
,,TWDC(6),5.20%,
,,RTV(2),5.20%,
29.10.2021,Wednesday,RTS(11),22.00%,
,,PINK(20),19.40%,
,,KOPERNIKUS(8),14.40%,
,,TELEKOM(20),10.70%,
,,HAPPY(1),6.90%,
,,CAS(21),5.90%,
,,TWDC(6),5.60%,
,,RTV(2),5.20%,
30.10.2021,Tuesday,RTS(11),21.00%,
,,PINK(20),18.60%,
,,KOPERNIKUS(8),12.80%,
,,TELEKOM(20),10.00%,
,,HAPPY(1),8.40%,
,,CAS(21),5.60%,
,,TWDC(6),5.20%,
,,RTV(2),5.10%,
